Address,Location,Price,Beds,Baths,SqFt,Price per sqft,HOA,Year Built,Property Type
4948 N Troy St Unit 2S,CHI - Albany Park,"$275,000",3,2,"1,150",$239,$266/month,1911,Condo / Apartment
5323 N Oak Park Ave,Big Oaks,"$399,900",4,2,—,—,None,1950,Single Family Home
553 W Eugenie St,CHI - Lincoln Park,"$899,900",3,3,"2,522",$357,$665/month,1982,Condo / Apartment
9831 S Karlov Ave,Oak Lawn,"$264,000",3,2.5,"1,780",$148,$415/month,1968,Condo / Apartment
2750 S Springfield Ave,CHI - South Lawndale,"$214,900",3,1,"1,036",$207,None,1905,Single Family Home
6928 S Maplewood Ave,CHI - Chicago Lawn,"$415,000",6,3,—,—,None,1925,Single Family Home
680 N Lake Shore Dr #2300,CHI - Near North Side,"$999,000",1,1.5,"2,575",$388,"$1,542/month",1923,Condo / Apartment
2646 W Cullerton St,CHI - South Lawndale,"$320,000",6,3,—,—,None,1890,Single Family Home
7814 S Bennett Ave,CHI - South Shore,"$430,000",8,3,—,—,None,1923,Single Family Home
161 E Chicago Ave Unit 53H,Olympia Centre,"$725,000",1,1.5,"1,456",$498,"$1,387/month",1985,Condo / Apartment
230 W Division St #501,CHI - Near North Side,"$615,000",2,2,"1,537",$400,"$1,000/month",2004,Condo / Apartment
7146 S Maplewood Ave,CHI - Chicago Lawn,"$279,000",6,2,"1,600",$174,None,1926,Single Family Home
1221 E 46th St #2,CHI - Kenwood,"$449,900",3,2,—,—,$258/month,2018,Condo / Apartment
1716 E 54th St Unit I,CHI - Hyde Park,"$729,000",4,2.5,"2,046",$356,$201/month,1998,Condo / Apartment
732 S Financial Pl #506,CHI - Loop,"$290,000",1,1,"1,075",$270,$389/month,1908,Condo / Apartment
4128 W George St,Belmont Gardens,"$515,000",3,3,—,—,None,1924,Single Family Home
1300 N Lake Shore Dr Unit 18D,CHI - Near North Side,"$725,000",3,3,"2,200",$330,"$2,531/month",1974,Condo / Apartment
4129 W 21st St,CHI - North Lawndale,"$159,900",4,2,—,—,None,1905,Single Family Home
4056 W Waveland Ave,CHI - Irving Park,"$1,499,000",6,4.5,"4,221",$355,None,2024,Single Family Home
435 E 45th St,CHI - Grand Boulevard,"$240,000",3,2.5,"1,856",$129,None,1888,Single Family Home
1819 W Thome Ave Unit N305,CHI - West Ridge,"$269,900",2,2,"1,020",$265,$390/month,1971,Condo / Apartment
8859 S Sacramento Ave,Evergreen Park,"$234,900",2,1.5,"1,100",$214,None,1942,Single Family Home
2635 N 73rd Ave,Elmwood Park,"$439,990",5,3,"1,596",$276,None,1922,Single Family Home
4514 N Mcvicker Ave,CHI - Portage Park,"$658,000",4,3,"3,200",$206,None,1924,Single Family Home
6030 N Sheridan Rd #1313,CHI - Edgewater,"$165,000",1,1,—,—,$473/month,1951,Condo / Apartment
155 N Harbor Dr #610,Harbor Point,"$545,000",2,2,"1,250",$436,"$1,040/month",1974,Condo / Apartment
2417 N Artesian Ave #1,CHI - Logan Square,"$870,000",4,2.5,"2,400",$363,$223/month,2018,Condo / Apartment
5555 N Sheridan Rd #1409,Edgewater Beach Apts,"$224,000",1,1,"1,100",$204,"$1,489/month",1929,Condo / Apartment
8721 S Loomis St,CHI - Auburn Gresham,"$329,900",4,3,"1,500",$220,None,1921,Single Family Home
2800 W North Ave #403,CHI - West Town,"$440,000",2,2,"1,200",$367,$465/month,2009,Condo / Apartment
3513 N Bosworth Ave,Southport Corridor,"$4,200,000",6,5.5,"5,495",$764,None,2002,Single Family Home
1036 S Monitor Ave,CHI - Austin,"$344,000",4,2,"1,606",$214,None,1921,Single Family Home
315 N Jefferson St Unit 402A,CHI - Near West Side,"$899,000",4,2.5,—,—,$900/month,2000,Condo / Apartment
4113 Southwest Hwy,Hometown,"$229,900",2,1,775,$297,None,1954,Single Family Home
45 W 126th Pl,CHI - West Pullman,"$234,900",3,1.5,"1,800",$131,None,1966,Single Family Home
720 N Larrabee St #909,CHI - Near North Side,"$400,000",2,2,"1,200",$333,$852/month,2002,Condo / Apartment
5042 N Newland Ave,CHI - Norwood Park,"$399,900",2,1.5,"1,463",$273,None,1948,Single Family Home
3640 N Damen Ave #2,CHI - North Center,"$495,000",2,2,—,—,$279/month,2001,Condo / Apartment
820 W Webster Ave Unit 3W,CHI - Lincoln Park,"$700,000",3,2,"1,300",$538,$433/month,1892,Condo / Apartment
1319 N Austin Blvd,CHI - Austin,"$490,000",6,3,—,—,None,1922,Single Family Home
7946 S Aberdeen St,CHI - Auburn Gresham,"$299,900",4,2,"1,400",$214,None,1917,Single Family Home
7237 S Exchange Ave,CHI - South Shore,"$399,900",3,2.5,"3,300",$121,None,2025,Single Family Home
1212 N Wells St #1003,Neapolitan,"$399,000",1,1.5,—,—,$629/month,2001,Condo / Apartment
660 W Wayman St Unit 403B,CHI - Near West Side,"$329,900",2,2,—,—,$468/month,2007,Condo / Apartment
11007 S King Dr,CHI - Roseland,"$66,000",6,2,—,—,None,1916,Single Family Home
9056 S Marshfield Ave,CHI - Washington Heights,"$319,999",5,3,"2,399",$133,None,1925,Single Family Home
6801 S Oakley Ave,CHI - Chicago Lawn,"$249,900",5,2,"1,824",$137,None,1912,Single Family Home
630 N State St #1604,CHI - Near North Side,"$219,000",0,1,527,$416,$553/month,2001,Condo / Apartment
1924 N Maud Ave Unit D,CHI - Lincoln Park,"$1,025,000",3,2.5,—,—,$571/month,1989,Condo / Apartment
854 E 82nd St #2,CHI - Chatham,"$75,000",1,1,775,$97,$361/month,1926,Condo / Apartment
701 S Wells St #2202,CHI - Loop,"$430,000",2,2,"1,275",$337,"$1,084/month",2002,Condo / Apartment
1736 S Indiana Ave,Kensington Park,"$950,000",4,4,"3,002",$316,$225/month,2004,Condo / Apartment
5432 S Kenneth Ave,CHI - West Elsdon,"$499,000",5,3,"2,688",$186,None,2025,Single Family Home
1560 N Sandburg Ter Unit 406J,CHI - Near North Side,"$454,900",2,1,—,—,$756/month,1981,Condo / Apartment
3627 W 86th St,CHI - Ashburn,"$229,000",4,1,"1,092",$210,None,1951,Single Family Home
1246 N Paulina St #2,CHI - West Town,"$775,000",4,2,"2,400",$323,$200/month,1890,Condo / Apartment
8533 S May St,CHI - Auburn Gresham,"$298,900",5,3,"1,736",$172,None,1893,Single Family Home
5651 N Osceola Ave,CHI - Norwood Park,"$489,900",3,2,"1,768",$277,None,1950,Single Family Home
8007 S Avalon Ave,CHI - Avalon Park,"$220,000",3,1,—,—,None,1914,Single Family Home
1444 N Orleans St Unit 5D,Royalton Towers,"$500,000",2,2,—,—,$606/month,2002,Condo / Apartment
2531 W Berwyn Ave Unit G,CHI - Lincoln Square,"$210,000",2,2,—,—,$250/month,1930,Condo / Apartment
10522 S Albany Ave,CHI - Mount Greenwood,"$329,900",3,2,"1,279",$258,None,1941,Single Family Home
6740 S Rhodes Ave,CHI - Woodlawn,"$115,000",4,2,"1,200",$96,None,1970,Single Family Home
600 N Lake Shore Dr #2509,CHI - Near North Side,"$575,000",2,2,"1,290",$446,$957/month,2008,Condo / Apartment
260 E Chestnut St #1811,CHI - Near North Side,"$279,000",1,1,—,—,$520/month,1970,Condo / Apartment
4150 N Kenmore Ave #305,CHI - Uptown,"$450,000",2,2,—,—,$315/month,2007,Condo / Apartment
260 E Chestnut St #1102,CHI - Near North Side,"$315,000",1,1,950,$332,$725/month,1970,Condo / Apartment
8435 S Cregier Ave,CHI - Avalon Park,"$279,900",3,1.5,"1,100",$254,None,1941,Single Family Home
2520 N Sheffield Ave Unit O,CHI - Lincoln Park,"$925,000",3,2.5,"2,000",$463,$268/month,1988,Condo / Apartment
6444 S Woodlawn Ave Unit 4N,CHI - Woodlawn,"$410,000",3,2,"2,000",$205,$204/month,2018,Condo / Apartment
1632 S Indiana Ave #304,Bicycle Station Lofts,"$269,900",1,1,—,—,$260/month,1907,Condo / Apartment
4005 W Nelson St Unit 5A,CHI - Avondale,"$165,000",1,1,850,$194,$219/month,1924,Condo / Apartment
