Address,Location,Price,Beds,Baths,SqFt,Price per sqft,HOA,Year Built,Property Type
4056 W Waveland Ave,CHI - Irving Park,1499000.0,6,4.5,4221.0,355.0,,2024,Single Family Home
435 E 45th St,CHI - Grand Boulevard,240000.0,3,2.5,1856.0,129.0,,1888,Single Family Home
1819 W Thome Ave Unit N305,CHI - West Ridge,269900.0,2,2,1020.0,265.0,390.0,1971,Condo / Apartment
8859 S Sacramento Ave,Evergreen Park,234900.0,2,1.5,1100.0,214.0,,1942,Single Family Home
2635 N 73rd Ave,Elmwood Park,439990.0,5,3,1596.0,276.0,,1922,Single Family Home
4514 N Mcvicker Ave,CHI - Portage Park,658000.0,4,3,3200.0,206.0,,1924,Single Family Home
155 N Harbor Dr #610,Harbor Point,545000.0,2,2,1250.0,436.0,1040.0,1974,Condo / Apartment
2417 N Artesian Ave #1,CHI - Logan Square,870000.0,4,2.5,2400.0,363.0,223.0,2018,Condo / Apartment
5555 N Sheridan Rd #1409,Edgewater Beach Apts,224000.0,1,1,1100.0,204.0,1489.0,1929,Condo / Apartment
8721 S Loomis St,CHI - Auburn Gresham,329900.0,4,3,1500.0,220.0,,1921,Single Family Home
2800 W North Ave #403,CHI - West Town,440000.0,2,2,1200.0,367.0,465.0,2009,Condo / Apartment
3513 N Bosworth Ave,Southport Corridor,4200000.0,6,5.5,5495.0,764.0,,2002,Single Family Home
1036 S Monitor Ave,CHI - Austin,344000.0,4,2,1606.0,214.0,,1921,Single Family Home
4113 Southwest Hwy,Hometown,229900.0,2,1,775.0,297.0,,1954,Single Family Home
45 W 126th Pl,CHI - West Pullman,234900.0,3,1.5,1800.0,131.0,,1966,Single Family Home
720 N Larrabee St #909,CHI - Near North Side,400000.0,2,2,1200.0,333.0,852.0,2002,Condo / Apartment
5042 N Newland Ave,CHI - Norwood Park,399900.0,2,1.5,1463.0,273.0,,1948,Single Family Home
820 W Webster Ave Unit 3W,CHI - Lincoln Park,700000.0,3,2,1300.0,538.0,433.0,1892,Condo / Apartment
7946 S Aberdeen St,CHI - Auburn Gresham,299900.0,4,2,1400.0,214.0,,1917,Single Family Home
7237 S Exchange Ave,CHI - South Shore,399900.0,3,2.5,3300.0,121.0,,2025,Single Family Home
9056 S Marshfield Ave,CHI - Washington Heights,319999.0,5,3,2399.0,133.0,,1925,Single Family Home
6801 S Oakley Ave,CHI - Chicago Lawn,249900.0,5,2,1824.0,137.0,,1912,Single Family Home
630 N State St #1604,CHI - Near North Side,219000.0,0,1,527.0,416.0,553.0,2001,Condo / Apartment
854 E 82nd St #2,CHI - Chatham,75000.0,1,1,775.0,97.0,361.0,1926,Condo / Apartment
701 S Wells St #2202,CHI - Loop,430000.0,2,2,1275.0,337.0,1084.0,2002,Condo / Apartment
1736 S Indiana Ave,Kensington Park,950000.0,4,4,3002.0,316.0,225.0,2004,Condo / Apartment
5432 S Kenneth Ave,CHI - West Elsdon,499000.0,5,3,2688.0,186.0,,2025,Single Family Home
3627 W 86th St,CHI - Ashburn,229000.0,4,1,1092.0,210.0,,1951,Single Family Home
